"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the revenue from Store A after discount?","$40,500","$45,000","$90,000","$49,500","B","Discount = 10% of 50 = 5. Price = 50 - 5 = 45. Revenue = 1000 × 45 = $45,000.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the profit from Store B?","$25,600","$12,800","$14,080","$28,000","B","Discount = 15% of 60 = 9. Price = 60 - 9 = 51. Revenue = 800 × 51 = $40,800.
Cost = 800 × 35 = $28,000. Profit = 40,800 - 28,000 = $12,800.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the total revenue from all stores?","$42,000","$40,800","$127,800","$45,000","C","A: $45,000. B: $40,800. C: 600 × 70 = $42,000. Total = 45,000 + 40,800 + 42,000 = $127,800.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the total profit margin (%) across all stores?","100%","35.84%","40%","30%","B","Total cost: A: 1000 × 30 = 30,000. B: 28,000. C: 600 × 40 = 24,000. Total = 82,000.
Profit = 127,800 - 82,000 = 45,800. Margin = (45,800 ÷ 127,800) × 100 ≈ 35.84%.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: Which store has the highest profit?","The profit of Store C is lower than Store A because of the higher cost per unit and lower selling price after the discount applied in Store A.","Store A has the lowest profit due to its lower selling price and higher cost per unit compared to Store B.","Store B has the highest profit due to its relatively high cost per unit and significant discount applied, resulting in a higher profit margin.","Store C","D","A: 45,000 - 30,000 = $15,000. B: $12,800. C: 42,000 - 24,000 = $18,000. Highest is C.","TRUE","llm"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the weighted average selling price per unit after discounts?","$53.25","$47.93","$106.5","$58.58","A","Total units = 1000 + 800 + 600 = 2400. Revenue = $127,800. Average = 127,800 ÷ 2400 = $53.25.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the ratio of units sold in Store A to Store C?","The ratio of units sold in Store A to Store C is 4 : 1.","The ratio of units sold in Store B to Store C is 8 : 3.","Store A sold 1000 units and Store C sold 500 units, so the ratio of units sold in Store A to Store B is 2 : 1.","5 : 3","D","A (1000) : C (600) = 1000 : 600 = 5 : 3.","TRUE","llm"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the percentage contribution of Store B’s profit to total profit?","25.16%","55.9%","27.95%","30.75%","C","Total profit = 45,800. B: 12,800. % = (12,800 ÷ 45,800) × 100 ≈ 27.95%.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: What is the total discount amount across all stores?","$5,000","$7,200","$24,400","$12,200","D","A: 1000 × 5 = $5000. B: 800 × 9 = $7200. C: $0. Total = 5000 + 7200 = $12,200.","TRUE","mechanical"
"Advanced","**Caselet 1: A Retail Chain’s Sales and Costs**
- Store A: 1000 units sold at $50/unit, 10% discount, cost $30/unit
- Store B: 800 units sold at $60/unit, 15% discount, cost $35/unit
- Store C: 600 units sold at $70/unit, no discount, cost $40/unit

Question: If Store C’s units sold increase by 20%, what is the new profit?","$50,400","$21,600","$28,800","$43,200","B","New units = 600 × 1.2 = 720. Revenue = 720 × 70 = $50,400. Cost = 720 × 40 = $28,800.
Profit = 50,400 - 28,800 = $21,600.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: How many high-impact publications did Dept A produce?","9 publications","20 publications","11 publications","10 publications","D","High-impact = 20% of 50 = 10 publications.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the average funding per publication for Dept B?","$10,000","$11,000","$20,000","$9,000","A","Funding = $400,000. Publications = 40. Average = 400,000 ÷ 40 = $10,000.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: Which department had the highest number of high-impact publications?","Dept B had the highest percentage of high-impact publications at 25%, which is significantly higher than the other departments.","Dept A or B","The department with the highest number of high-impact publications is actually Dept C with a total of 9 publications that are high-impact.","Dept A had the highest number of high-impact publications, but when compared to Dept B, the latter had a higher ratio of high-impact to total publications.","B","A: 10. B: 25% of 40 = 10. C: 30% of 30 = 9. A and B tie.","TRUE","llm"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the total funding across all departments?","$1,200,000","$500,000","$2,400,000","$400,000","A","Total = 500,000 + 400,000 + 300,000 = $1,200,000.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the total number of publications across all departments?","50 publications","120 publications","40 publications","240 publications","B","Total = 50 + 40 + 30 = 120 publications.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the weighted average funding per publication?","$20,000","$11,000","$9,000","$10,000","D","Total funding = $1,200,000. Total publications = 120. Average = 1,200,000 ÷ 120 = $10,000.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the ratio of high-impact publications in Dept B to Dept C?","10 : 9","Dept B had 25% high-impact publications and Dept C had 30% high-impact publications, so the ratio of high-impact publications in Dept B to Dept C is 5 : 6.","Dept A's 20% high-impact publications and Dept C's 30% high-impact publications have a 20 : 30 or 2 : 3 ratio, and Dept B's 25% high-impact publications have a 5 : 3 ratio to Dept C's 30% high-impact publications.","The ratio of high-impact publications in Dept B to Dept C is 8 : 1.","A","B: 10. C: 9. Ratio = 10 : 9.","TRUE","llm"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the percentage contribution of Dept C’s funding to total funding?","50%","28%","25%","22%","C","C: 300,000. Total: 1,200,000. % = (300,000 ÷ 1,200,000) × 100 = 25%.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: What is the total number of high-impact publications?","10 publications","9 publications","29 publications","58 publications","C","A: 10, B: 10, C: 9. Total = 10 + 10 + 9 = 29.","TRUE","mechanical"
"Advanced","**Caselet 2: A University’s Research Funding and Publications**
- Dept A: $500,000 funding, 50 publications, 20% high-impact
- Dept B: $400,000 funding, 40 publications, 25% high-impact
- Dept C: $300,000 funding, 30 publications, 30% high-impact

Question: If Dept A’s funding increases by 10% and publications remain the same, what is the new funding per publication?","$22,000","$9,900","$11,000","$12,100","C","New funding = 500,000 × 1.1 = $550,000. Publications = 50. Average = 550,000 ÷ 50 = $11,000.","TRUE","mechanical"
